Accuracy,MAE,RMSE,NUMERO,PercentTest
0.9598765432098766,,,1,0.2
0.9507042253521126,,,1,0.3
0.9547325102880658,,,1,0.4
0.9655172413793104,,,1,0.5
0.9753086419753086,,,1,0.6
0.9754098360655737,,,1,0.7
0.9753086419753086,,,1,0.8
0.9567901234567902,,,2,0.2
0.954225352112676,,,2,0.3
0.9588477366255144,,,2,0.4
0.9704433497536946,,,2,0.5
0.9753086419753086,,,2,0.6
0.9754098360655737,,,2,0.7
0.9629629629629629,,,2,0.8
0.9598765432098766,,,3,0.2
0.9507042253521126,,,3,0.3
0.9547325102880658,,,3,0.4
0.9605911330049262,,,3,0.5
0.9814814814814815,,,3,0.6
0.9754098360655737,,,3,0.7
0.9753086419753086,,,3,0.8
0.9567901234567902,,,4,0.2
0.954225352112676,,,4,0.3
0.9547325102880658,,,4,0.4
0.9655172413793104,,,4,0.5
0.9753086419753086,,,4,0.6
0.9754098360655737,,,4,0.7
0.9876543209876543,,,4,0.8
0.9629629629629629,,,5,0.2
0.954225352112676,,,5,0.3
0.9547325102880658,,,5,0.4
0.9605911330049262,,,5,0.5
0.9753086419753086,,,5,0.6
0.9754098360655737,,,5,0.7
0.9753086419753086,,,5,0.8
0.9598765432098766,,,6,0.2
0.954225352112676,,,6,0.3
0.9588477366255144,,,6,0.4
0.9655172413793104,,,6,0.5
0.9814814814814815,,,6,0.6
0.9754098360655737,,,6,0.7
0.9876543209876543,,,6,0.8
0.9567901234567902,,,7,0.2
0.954225352112676,,,7,0.3
0.9547325102880658,,,7,0.4
0.9556650246305419,,,7,0.5
0.9876543209876543,,,7,0.6
0.9836065573770492,,,7,0.7
0.9629629629629629,,,7,0.8
0.9567901234567902,,,8,0.2
0.9507042253521126,,,8,0.3
0.9547325102880658,,,8,0.4
0.9605911330049262,,,8,0.5
0.9753086419753086,,,8,0.6
0.9754098360655737,,,8,0.7
0.9753086419753086,,,8,0.8
0.9629629629629629,,,9,0.2
0.954225352112676,,,9,0.3
0.9629629629629629,,,9,0.4
0.9655172413793104,,,9,0.5
0.9753086419753086,,,9,0.6
0.9754098360655737,,,9,0.7
0.9629629629629629,,,9,0.8
0.9629629629629629,,,10,0.2
0.954225352112676,,,10,0.3
0.9588477366255144,,,10,0.4
0.9556650246305419,,,10,0.5
0.9753086419753086,,,10,0.6
0.9754098360655737,,,10,0.7
0.9753086419753086,,,10,0.8
0.9629629629629629,,,11,0.2
0.9507042253521126,,,11,0.3
0.9588477366255144,,,11,0.4
0.9507389162561576,,,11,0.5
0.9876543209876543,,,11,0.6
0.9754098360655737,,,11,0.7
0.9876543209876543,,,11,0.8
0.9567901234567902,,,12,0.2
0.9507042253521126,,,12,0.3
0.9588477366255144,,,12,0.4
0.9704433497536946,,,12,0.5
0.9753086419753086,,,12,0.6
0.9754098360655737,,,12,0.7
0.9876543209876543,,,12,0.8
0.9598765432098766,,,13,0.2
0.954225352112676,,,13,0.3
0.9547325102880658,,,13,0.4
0.9556650246305419,,,13,0.5
0.9753086419753086,,,13,0.6
0.9754098360655737,,,13,0.7
0.9629629629629629,,,13,0.8
0.9598765432098766,,,14,0.2
0.9507042253521126,,,14,0.3
0.9547325102880658,,,14,0.4
0.9655172413793104,,,14,0.5
0.9814814814814815,,,14,0.6
0.9836065573770492,,,14,0.7
0.9753086419753086,,,14,0.8
0.9598765432098766,,,15,0.2
0.954225352112676,,,15,0.3
0.9547325102880658,,,15,0.4
0.9704433497536946,,,15,0.5
0.9753086419753086,,,15,0.6
0.9754098360655737,,,15,0.7
0.9753086419753086,,,15,0.8
0.9598765432098766,,,16,0.2
0.9507042253521126,,,16,0.3
0.9588477366255144,,,16,0.4
0.9507389162561576,,,16,0.5
0.9753086419753086,,,16,0.6
0.9754098360655737,,,16,0.7
0.9629629629629629,,,16,0.8
0.9629629629629629,,,17,0.2
0.954225352112676,,,17,0.3
0.9506172839506173,,,17,0.4
0.9605911330049262,,,17,0.5
0.9753086419753086,,,17,0.6
0.9754098360655737,,,17,0.7
0.9876543209876543,,,17,0.8
0.9598765432098766,,,18,0.2
0.9507042253521126,,,18,0.3
0.9547325102880658,,,18,0.4
0.9655172413793104,,,18,0.5
0.9753086419753086,,,18,0.6
0.9754098360655737,,,18,0.7
1.0,,,18,0.8
0.9598765432098766,,,19,0.2
0.9507042253521126,,,19,0.3
0.9588477366255144,,,19,0.4
0.9753694581280788,,,19,0.5
0.9753086419753086,,,19,0.6
0.9754098360655737,,,19,0.7
0.9753086419753086,,,19,0.8
0.9567901234567902,,,20,0.2
0.9507042253521126,,,20,0.3
0.9506172839506173,,,20,0.4
0.9753694581280788,,,20,0.5
0.9753086419753086,,,20,0.6
0.9836065573770492,,,20,0.7
0.9876543209876543,,,20,0.8
0.9598765432098766,,,21,0.2
0.954225352112676,,,21,0.3
0.9588477366255144,,,21,0.4
0.9507389162561576,,,21,0.5
0.9753086419753086,,,21,0.6
0.9754098360655737,,,21,0.7
0.9753086419753086,,,21,0.8
0.9598765432098766,,,22,0.2
0.9507042253521126,,,22,0.3
0.9547325102880658,,,22,0.4
0.9704433497536946,,,22,0.5
0.9814814814814815,,,22,0.6
0.9754098360655737,,,22,0.7
0.9753086419753086,,,22,0.8
0.9567901234567902,,,23,0.2
0.954225352112676,,,23,0.3
0.9588477366255144,,,23,0.4
0.9704433497536946,,,23,0.5
0.9814814814814815,,,23,0.6
0.9754098360655737,,,23,0.7
0.9753086419753086,,,23,0.8
0.9598765432098766,,,24,0.2
0.9577464788732394,,,24,0.3
0.9547325102880658,,,24,0.4
0.9704433497536946,,,24,0.5
0.9753086419753086,,,24,0.6
0.9754098360655737,,,24,0.7
1.0,,,24,0.8
0.9598765432098766,,,25,0.2
0.9507042253521126,,,25,0.3
0.9547325102880658,,,25,0.4
0.9556650246305419,,,25,0.5
