Accuracy,MAE,RMSE,NUMERO,PercentTest
0.9567901234567902,,,1,0.2
0.9507042253521126,,,1,0.3
0.9917695473251029,,,1,0.4
0.9901477832512315,,,1,0.5
1.0,,,1,0.6
1.0,,,1,0.7
1.0,,,1,0.8
0.9567901234567902,,,2,0.2
0.9507042253521126,,,2,0.3
0.9917695473251029,,,2,0.4
0.9901477832512315,,,2,0.5
1.0,,,2,0.6
1.0,,,2,0.7
1.0,,,2,0.8
0.9567901234567902,,,3,0.2
0.9507042253521126,,,3,0.3
0.9917695473251029,,,3,0.4
0.9901477832512315,,,3,0.5
1.0,,,3,0.6
1.0,,,3,0.7
1.0,,,3,0.8
0.9567901234567902,,,4,0.2
0.9507042253521126,,,4,0.3
0.9917695473251029,,,4,0.4
0.9901477832512315,,,4,0.5
1.0,,,4,0.6
1.0,,,4,0.7
1.0,,,4,0.8
0.9567901234567902,,,5,0.2
0.9507042253521126,,,5,0.3
0.9917695473251029,,,5,0.4
0.9901477832512315,,,5,0.5
1.0,,,5,0.6
1.0,,,5,0.7
1.0,,,5,0.8
0.9567901234567902,,,6,0.2
0.9507042253521126,,,6,0.3
0.9917695473251029,,,6,0.4
0.9901477832512315,,,6,0.5
1.0,,,6,0.6
1.0,,,6,0.7
1.0,,,6,0.8
0.9567901234567902,,,7,0.2
0.9507042253521126,,,7,0.3
0.9917695473251029,,,7,0.4
0.9901477832512315,,,7,0.5
1.0,,,7,0.6
1.0,,,7,0.7
1.0,,,7,0.8
0.9567901234567902,,,8,0.2
0.9507042253521126,,,8,0.3
0.9917695473251029,,,8,0.4
0.9901477832512315,,,8,0.5
1.0,,,8,0.6
1.0,,,8,0.7
1.0,,,8,0.8
0.9567901234567902,,,9,0.2
0.9507042253521126,,,9,0.3
0.9917695473251029,,,9,0.4
0.9901477832512315,,,9,0.5
1.0,,,9,0.6
1.0,,,9,0.7
1.0,,,9,0.8
0.9567901234567902,,,10,0.2
0.9507042253521126,,,10,0.3
0.9917695473251029,,,10,0.4
0.9901477832512315,,,10,0.5
1.0,,,10,0.6
1.0,,,10,0.7
1.0,,,10,0.8
0.9567901234567902,,,11,0.2
0.9507042253521126,,,11,0.3
0.9917695473251029,,,11,0.4
0.9901477832512315,,,11,0.5
1.0,,,11,0.6
1.0,,,11,0.7
1.0,,,11,0.8
0.9567901234567902,,,12,0.2
0.9507042253521126,,,12,0.3
0.9917695473251029,,,12,0.4
0.9901477832512315,,,12,0.5
1.0,,,12,0.6
1.0,,,12,0.7
1.0,,,12,0.8
0.9567901234567902,,,13,0.2
0.9507042253521126,,,13,0.3
0.9917695473251029,,,13,0.4
0.9901477832512315,,,13,0.5
1.0,,,13,0.6
1.0,,,13,0.7
1.0,,,13,0.8
0.9567901234567902,,,14,0.2
0.9507042253521126,,,14,0.3
0.9917695473251029,,,14,0.4
0.9901477832512315,,,14,0.5
1.0,,,14,0.6
1.0,,,14,0.7
1.0,,,14,0.8
0.9567901234567902,,,15,0.2
0.9507042253521126,,,15,0.3
0.9917695473251029,,,15,0.4
0.9901477832512315,,,15,0.5
1.0,,,15,0.6
1.0,,,15,0.7
1.0,,,15,0.8
